timestamp	value
2026-05-01T10:41:22.740503	2.0799999237060547
2026-05-01T10:41:23.252982	2.2300000190734863
2026-05-01T10:41:23.671117	2.240000009536743
2026-05-01T10:41:24.193738	2.109999895095825
2026-05-01T10:41:24.709891	2.169999837875366
2026-05-01T10:41:25.120388	2.240000009536743
2026-05-01T10:41:25.636013	2.049999952316284
2026-05-01T10:41:26.148266	2.129999876022339
2026-05-01T10:41:26.662316	2.009999990463257
2026-05-01T10:41:27.084302	2.1499998569488525
2026-05-01T10:41:27.594256	2.180000066757202
2026-05-01T10:41:28.109984	2.200000047683716
2026-05-01T10:41:28.519407	2.0399999618530273
2026-05-01T10:41:29.032584	2.059999942779541
2026-05-01T10:41:29.549047	2.1499998569488525
2026-05-01T10:41:30.062137	2.0899999141693115
2026-05-01T10:41:30.484707	2.1399998664855957
2026-05-01T10:41:31.002089	2.2699999809265137
2026-05-01T10:41:31.514989	2.119999885559082
2026-05-01T10:41:32.035569	1.9499999284744263
2026-05-01T10:41:32.453480	2.129999876022339
2026-05-01T10:41:32.962276	2.25
2026-05-01T10:41:33.479155	1.959999918937683
2026-05-01T10:41:33.892610	2.2200000286102295
2026-05-01T10:41:34.407492	1.9499999284744263
2026-05-01T10:41:34.924074	1.9799998998641968
2026-05-01T10:41:35.431736	1.9900000095367432
2026-05-01T10:41:35.838220	2.2699999809265137
2026-05-01T10:41:36.352452	2.109999895095825
2026-05-01T10:41:36.872675	2.1499998569488525
2026-05-01T10:41:37.397445	2.200000047683716
2026-05-01T10:41:37.804145	2.0999999046325684
2026-05-01T10:41:38.317357	1.9499999284744263
2026-05-01T10:41:38.836789	2.0799999237060547
2026-05-01T10:41:39.246297	1.9900000095367432
2026-05-01T10:41:39.757318	2.059999942779541
2026-05-01T10:41:40.274219	2.2200000286102295
2026-05-01T10:41:40.790942	2.109999895095825
2026-05-01T10:41:41.199466	2.1599998474121094
2026-05-01T10:41:41.716823	2.049999952316284
2026-05-01T10:41:42.227912	2.059999942779541
2026-05-01T10:41:42.744611	2.3299999237060547
2026-05-01T10:41:43.156044	2.0799999237060547
2026-05-01T10:41:43.661636	2.009999990463257
2026-05-01T10:41:44.178891	1.9900000095367432
2026-05-01T10:41:44.691716	2.0399999618530273
2026-05-01T10:41:45.103399	2.049999952316284
2026-05-01T10:41:45.624500	2.1599998474121094
2026-05-01T10:41:46.143162	2.1599998474121094
2026-05-01T10:41:46.556522	2.2200000286102295
2026-05-01T10:41:47.076461	2.059999942779541
2026-05-01T10:41:47.591237	2.129999876022339
2026-05-01T10:41:48.103514	2.240000009536743
2026-05-01T10:41:48.522698	2.0799999237060547
2026-05-01T10:41:49.041276	2.129999876022339
2026-05-01T10:41:49.550987	2.0999999046325684
2026-05-01T10:41:49.963682	2.240000009536743
2026-05-01T10:41:50.488396	2.240000009536743
2026-05-01T10:41:51.002190	2.1399998664855957
2026-05-01T10:41:51.521983	2.259999990463257
2026-05-01T10:41:51.941298	2.2100000381469727
2026-05-01T10:41:52.448688	2.180000066757202
2026-05-01T10:41:52.965566	2.0299999713897705
2026-05-01T10:41:53.388767	2.2100000381469727
2026-05-01T10:41:53.893680	1.959999918937683
2026-05-01T10:41:54.407838	2.240000009536743
2026-05-01T10:41:54.924730	2.0299999713897705
2026-05-01T10:41:55.335386	2.119999885559082
2026-05-01T10:41:55.854951	2.109999895095825
2026-05-01T10:41:56.370820	2.2799999713897705
2026-05-01T10:41:56.780382	2.0299999713897705
2026-05-01T10:41:57.299404	2.049999952316284
2026-05-01T10:41:57.814891	2.059999942779541
2026-05-01T10:41:58.327908	2.1399998664855957
2026-05-01T10:41:58.738435	2.1499998569488525
2026-05-01T10:41:59.254286	2.169999837875366
2026-05-01T10:41:59.774949	2.049999952316284
2026-05-01T10:42:00.285441	2.1499998569488525
2026-05-01T10:42:00.694138	2.009999990463257
2026-05-01T10:42:01.205671	2.129999876022339
2026-05-01T10:42:01.712243	2.190000057220459
2026-05-01T10:42:02.221366	2.0299999713897705
2026-05-01T10:42:02.732483	2.3299999237060547
2026-05-01T10:42:03.135015	2.0299999713897705
2026-05-01T10:42:03.647053	2.009999990463257
2026-05-01T10:42:04.156908	2.0899999141693115
2026-05-01T10:42:04.664153	2.2300000190734863
2026-05-01T10:42:05.065669	2.049999952316284
2026-05-01T10:42:05.580344	2.180000066757202
2026-05-01T10:42:06.088577	2.309999942779541
2026-05-01T10:42:06.598563	2.1499998569488525
2026-05-01T10:42:07.104940	2.259999990463257
2026-05-01T10:42:07.513363	2.0799999237060547
2026-05-01T10:42:08.025447	2.0899999141693115
2026-05-01T10:42:08.544525	2.129999876022339
2026-05-01T10:42:09.048895	2.0999999046325684
2026-05-01T10:42:09.455550	2.0999999046325684
2026-05-01T10:42:09.962183	1.96999990940094
2026-05-01T10:42:10.478254	1.8799999952316284
2026-05-01T10:42:10.986013	1.9299999475479126
2026-05-01T10:42:11.494373	2.359999895095825
2026-05-01T10:42:11.906288	2.119999885559082
2026-05-01T10:42:12.412514	2.0
2026-05-01T10:42:12.917188	2.1499998569488525
2026-05-01T10:42:13.420852	2.1599998474121094
2026-05-01T10:42:13.835777	2.2300000190734863
2026-05-01T10:42:14.346031	2.0999999046325684
2026-05-01T10:42:14.853040	2.0899999141693115
2026-05-01T10:42:15.363581	2.069999933242798
