setting	I_ch4_per_kwy	I_co2e_ratio	I_ch4_reference_concentration_ppb	I_credit_price_per_tonne_ch4	I_credit_price_per_tonne_co2e	B_solar_nameplate_mw	B_solar_cap_cost_per_mw_nameplate	B_solar_land_use_acres_per_mw	B_solar_nameplate_ratio	B_solar_panel_lifetime_years	B_energy_cost_usa_per_mwh	B_target_megatonnes	P_solar_available_kw	P_solar_energy_used_kwy	P_solar_annual_capex	P_solar_cap_cost_per_kwy	O_solar_acreage	O_solar_ch4_converted_tonnes	O_solar_co2e_converted_tonnes	O_solar_revenue_ch4	O_solar_revenue_co2e	O_solar_net_ch4	O_solar_net_co2e	O_solar_cost_per_tonne_ch4	O_solar_cost_per_tonne_co2e	O_solar_nameplate_for_target_mw	O_solar_acreage_for_target
solar	1.0	28	2000	1200	100	100	1000000	4	0.4	25	30.0	100	40000.0	40000.0	4000000.0	100.0	400	40000.0	1120000.0	48000000.0	112000000.0	44000000.0	108000000.0	100.0	3.5714285714285716	250000.0	1000000.0
solar	2.0	28	2000	1200	100	100	1000000	4	0.4	25	30.0	100	40000.0	40000.0	4000000.0	100.0	400	80000.0	2240000.0	96000000.0	224000000.0	92000000.0	220000000.0	50.0	1.7857142857142858	125000.0	500000.0
solar	3.0	28	2000	1200	100	100	1000000	4	0.4	25	30.0	100	40000.0	40000.0	4000000.0	100.0	400	120000.0	3360000.0	144000000.0	336000000.0	140000000.0	332000000.0	33.333333333333336	1.1904761904761905	83333.33333333333	333333.3333333333
solar	4.0	28	2000	1200	100	100	1000000	4	0.4	25	30.0	100	40000.0	40000.0	4000000.0	100.0	400	160000.0	4480000.0	192000000.0	448000000.0	188000000.0	444000000.0	25.0	0.8928571428571429	62500.0	250000.0
solar	5.0	28	2000	1200	100	100	1000000	4	0.4	25	30.0	100	40000.0	40000.0	4000000.0	100.0	400	200000.0	5600000.0	240000000.0	560000000.0	236000000.0	556000000.0	20.0	0.7142857142857143	50000.0	200000.0
