# expname:   sweep_prices_all
# timestamp: 20260409_132700
# setting:   all
# power:     (default per setting)
# device:    fluorescent
# override:  I_credit_price_per_tonne_ch4 = [600.0, 900.0, 1200.0]
# override:  I_co2e_ratio = [20.0, 24.0, 28.0]
# combos:    ship+ship_engine+fluorescent, ship+ship_engine+fluorescent, ship+ship_engine+fluorescent, ship+ship_engine+fluorescent  (+32 more)
# rows:      36
# cli:       --expname sweep_prices_all  --setting all  --device fluorescent  --I_credit_price_per_tonne_ch4 [600.0,1200.0,...]  --I_co2e_ratio [20.0,28.0,...]
#
setting	power	device	I_ch4_per_kwy	I_ch4_reference_concentration_ppb	I_co2e_ratio	I_credit_price_per_tonne_ch4	I_credit_price_per_tonne_co2e	B_avg_power_per_ship_mw	B_cost_per_micronuke	B_device_efficiency_multiplier	B_energy_cost_ship_per_kwh	B_engineering_improvement	B_global_ship_fleet	B_landfill_ch4_concentration_ppm	B_landfill_construction_premium	B_landfill_nameplate_mw	B_nuclear_plant_output_wy	B_plausible_equipped_fleet	B_ship_days_per_year	B_ship_device_power_kw	B_ship_powerplant_mw	B_solar_cap_cost_per_mw_nameplate	B_solar_land_use_acres_per_mw	B_solar_nameplate_mw	B_solar_nameplate_ratio	B_solar_panel_lifetime_years	B_target_megatonnes	B_troposphere_volume_m3	B_wh_to_remove_1ppm_per_m3	B_years_to_run	P_annual_cost	P_concentration_factor	P_device_efficiency_multiplier	P_effective_ch4_per_kwy	P_energy_kwy	P_fleet_real_power_mw	P_fleet_total_power_mw	P_nameplate_mw	P_ship_fraction_of_year	P_solar_construction_premium	P_wh_to_remove_1ppm_raw	P_wy_needed	P_wy_to_remove_1ppm_raw	O_acreage	O_annual_cost	O_capital_cost	O_ch4_converted_tonnes	O_co2e_converted_tonnes	O_cost_per_tonne_ch4	O_cost_per_tonne_co2e	O_fleet_ch4_converted_tonnes	O_fleet_co2e_converted_tonnes	O_fleet_total_net_co2e	O_net_ch4	O_net_co2e	O_nukes_needed	O_nukes_raw	O_revenue_ch4	O_revenue_co2e	O_solar_acres_for_target	O_solar_mw_for_target	O_total_cost
landfill	solar	fluorescent	3.0	2000	20.0	900.0	100			1.0				500	4	100						1000000	4	100	0.4	25					16000000.0	250.0	1.0	3.0	40000.0			100		4				400		400000000	30000000.0	600000000.0	0.5333333333333333	0.02666666666666667				26984000000.0	59984000000.0			27000000000.0	60000000000.0			
landfill	solar	fluorescent	3.0	2000	24.0	900.0	100			1.0				500	4	100						1000000	4	100	0.4	25					16000000.0	250.0	1.0	3.0	40000.0			100		4				400		400000000	30000000.0	720000000.0	0.5333333333333333	0.022222222222222223				26984000000.0	71984000000.0			27000000000.0	72000000000.0			
landfill	solar	fluorescent	3.0	2000	28.0	900.0	100			1.0				500	4	100						1000000	4	100	0.4	25					16000000.0	250.0	1.0	3.0	40000.0			100		4				400		400000000	30000000.0	840000000.0	0.5333333333333333	0.01904761904761905				26984000000.0	83984000000.0			27000000000.0	84000000000.0			
landfill	solar	fluorescent	3.0	2000	20.0	1200.0	100			1.0				500	4	100						1000000	4	100	0.4	25					16000000.0	250.0	1.0	3.0	40000.0			100		4				400		400000000	30000000.0	600000000.0	0.5333333333333333	0.02666666666666667				35984000000.0	59984000000.0			36000000000.0	60000000000.0			
landfill	solar	fluorescent	3.0	2000	24.0	1200.0	100			1.0				500	4	100						1000000	4	100	0.4	25					16000000.0	250.0	1.0	3.0	40000.0			100		4				400		400000000	30000000.0	720000000.0	0.5333333333333333	0.022222222222222223				35984000000.0	71984000000.0			36000000000.0	72000000000.0			
landfill	solar	fluorescent	3.0	2000	28.0	1200.0	100			1.0				500	4	100						1000000	4	100	0.4	25					16000000.0	250.0	1.0	3.0	40000.0			100		4				400		400000000	30000000.0	840000000.0	0.5333333333333333	0.01904761904761905				35984000000.0	83984000000.0			36000000000.0	84000000000.0			
troposphere	nuclear	fluorescent	3.0	2000	20.0	600.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	24.0	600.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	28.0	600.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	20.0	900.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	24.0	900.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	28.0	900.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	20.0	1200.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	24.0	1200.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	28.0	1200.0	100		20000000	1.0		10					30000000										100	1e+18	50	10			1.0	3.0							5e+19	570385580652521.1	5703855806525211.0		3802570537683.474											1901285.2688417372	190128526.8841737					38025705376834.74
