time	methane	windspeed	current
2025-12-10T23:38:14	1.9190001487731934	2.68025	0.3234375
2025-12-10T23:38:19	1.9190001487731934	2.6765625	0.323125
2025-12-10T23:38:24	1.9230000972747803	2.6288125	0.323
2025-12-10T23:38:29	1.9180001020431519	2.6826875	0.3231875
2025-12-10T23:38:35	1.9200000762939453	2.6819375	0.323125
2025-12-10T23:38:40	1.9220000505447388	2.674875	0.323375
2025-12-10T23:38:45	1.9190001487731934	2.6157500000000002	0.323125
2025-12-10T23:38:50	1.9230000972747803	2.5994375	0.322875
2025-12-10T23:38:55	1.9200000762939453	2.6635625000000003	0.323375
2025-12-10T23:39:00	1.9130001068115234	2.6488125	0.3231875
2025-12-10T23:39:05	1.9130001068115234	2.6255	0.3229375
2025-12-10T23:39:10	1.915000081062317	2.596	0.3231875
2025-12-10T23:39:16	1.9200000762939453	2.589625	0.32306250000000003
2025-12-10T23:39:21	1.9180001020431519	2.6713750000000003	0.323375
2025-12-10T23:39:26	1.9230000972747803	2.667125	0.3955
2025-12-10T23:39:31	1.9290001392364502	2.641375	0.389375
2025-12-10T23:39:36	1.9310001134872437	2.68175	0.3919375
2025-12-10T23:39:41	1.9260001182556152	2.6361875	0.36825
2025-12-10T23:39:46	1.9280000925064087	2.6599375	0.40575
2025-12-10T23:39:52	1.9320000410079956	2.6990625	0.3955
2025-12-10T23:39:57	1.9310001134872437	2.6850625	0.3978125
2025-12-10T23:40:02	1.9310001134872437	2.70775	0.39968750000000003
2025-12-10T23:40:07	1.9310001134872437	2.6454375	0.3710625
2025-12-10T23:40:12	1.9300000667572021	2.6564375	0.41150000000000003
2025-12-10T23:40:17	1.9350000619888306	2.6960625	0.392125
2025-12-10T23:40:22	1.937000036239624	2.6460625	0.4060625
2025-12-10T23:40:27	1.939000129699707	2.6435	0.3999375
2025-12-10T23:40:33	1.940000057220459	2.437375	0.3939375
2025-12-10T23:40:38	1.937000036239624	2.517375	0.37243750000000003
2025-12-10T23:40:43	1.9380000829696655	2.6336875	0.4083125
2025-12-10T23:40:48	1.9380000829696655	2.7055625	0.3998125
2025-12-10T23:40:53	1.939000129699707	2.6506250000000002	0.4019375
2025-12-10T23:40:58	1.9440001249313354	2.6875625	0.40700000000000003
2025-12-10T23:41:03	1.937000036239624	2.6453125	0.3821875
2025-12-10T23:41:09	1.9380000829696655	2.6949375	0.40525
2025-12-10T23:41:14	1.9410001039505005	2.6609375	0.3580625
2025-12-10T23:41:19	1.939000129699707	2.676	0.361875
2025-12-10T23:41:24	1.940000057220459	2.6650625	0.3815625
2025-12-10T23:41:29	1.9410001039505005	2.6791875000000003	0.3853125
2025-12-10T23:41:34	1.943000078201294	2.6605625	0.3799375
2025-12-10T23:41:39	1.9480000734329224	2.658	0.3565
2025-12-10T23:41:45	1.9510000944137573	2.6193750000000002	0.3820625
2025-12-10T23:41:50	1.9520001411437988	2.683125	0.3906875
2025-12-10T23:41:55	1.9450000524520874	2.6753125	0.38356250000000003
2025-12-10T23:42:00	1.9380000829696655	2.6485	0.3616875
2025-12-10T23:42:05	1.939000129699707	2.6675625	0.3655
2025-12-10T23:42:10	1.939000129699707	2.675375	0.38275000000000003
2025-12-10T23:42:15	1.936000108718872	2.7	0.3961875
2025-12-10T23:42:20	1.936000108718872	2.6765	0.3925625
2025-12-10T23:42:26	1.933000087738037	2.7005625	0.3868125
2025-12-10T23:42:31	1.9290001392364502	2.687625	0.37593750000000004
2025-12-10T23:42:36	1.9310001134872437	2.630125	0.36325
2025-12-10T23:42:41	1.9220000505447388	2.6945	0.39156250000000004
2025-12-10T23:42:46	1.9200000762939453	2.671625	0.4028125
2025-12-10T23:42:51	1.9180001020431519	2.6706875	0.3935625
2025-12-10T23:42:56	1.9180001020431519	2.67125	0.366375
2025-12-10T23:43:02	1.9140000343322754	2.665	0.376875
2025-12-10T23:43:07	1.9160001277923584	2.6586875	0.398625
2025-12-10T23:43:12	1.9140000343322754	2.7	0.3955625
2025-12-10T23:43:17	1.9140000343322754	2.6438125	0.32325
2025-12-10T23:43:22	1.9140000343322754	2.68975	0.3231875
2025-12-10T23:43:27	1.915000081062317	2.6580625	0.323125
2025-12-10T23:43:32	1.91100013256073	2.659625	0.323375
2025-12-10T23:43:37	1.9140000343322754	2.69	0.32325
2025-12-10T23:43:43	1.9100000858306885	2.7029375	0.323375
2025-12-10T23:43:48	1.9130001068115234	2.6168125	0.3229375
2025-12-10T23:43:53	1.91100013256073	2.691875	0.32325
2025-12-10T23:43:58	1.909000039100647	2.6470625	0.3233125
2025-12-10T23:44:03	1.912000060081482	2.565875	0.32325
2025-12-10T23:44:08	1.912000060081482	2.57375	0.323375
2025-12-10T23:44:13	1.9180001020431519	2.6375625	0.32306250000000003
2025-12-10T23:44:19	1.9170000553131104	2.5743125	0.39887500000000004
2025-12-10T23:44:24	1.9210001230239868	2.6669375	0.3951875
2025-12-10T23:44:29	1.9260001182556152	2.640375	0.3973125
2025-12-10T23:44:34	1.9180001020431519	2.6437500000000003	0.400125
2025-12-10T23:44:39	1.9170000553131104	2.675125	0.39987500000000004
2025-12-10T23:44:44	1.9230000972747803	2.64275	0.39725
2025-12-10T23:44:49	1.9260001182556152	2.692625	0.397625
2025-12-10T23:44:54	1.9240001440048218	2.6245	0.40218750000000003
2025-12-10T23:45:00	1.9220000505447388	2.6709375	0.40218750000000003
2025-12-10T23:45:05	1.9230000972747803	2.60125	0.4029375
2025-12-10T23:45:10	1.9250000715255737	2.59525	0.407875
2025-12-10T23:45:15	1.9250000715255737	2.6836875	0.40668750000000004
