time	methane	windspeed	current
2026-04-13T20:53:39	1.8630000352859497	4.090625	0.394125
2026-04-13T20:53:44	1.8650001287460327	4.0905625	0.32506250000000003
2026-04-13T20:53:49	1.8670001029968262	4.09075	0.3251875
2026-04-13T20:53:54	1.8610000610351562	4.0906875000000005	0.3253125
2026-04-13T20:53:59	1.8590000867843628	4.09075	0.325125
2026-04-13T20:54:05	1.8580000400543213	4.0905625	0.32525
2026-04-13T20:54:10	1.852000117301941	4.0905000000000005	0.325375
2026-04-13T20:54:15	1.852000117301941	4.0905625	0.3251875
2026-04-13T20:54:20	1.8510000705718994	4.0905000000000005	0.3251875
2026-04-13T20:54:25	1.852000117301941	4.0905000000000005	0.32525
2026-04-13T20:54:30	1.849000096321106	4.0904375	0.3253125
2026-04-13T20:54:35	1.8510000705718994	4.0905625	0.3251875
2026-04-13T20:54:40	1.8550001382827759	4.0905625	0.325375
2026-04-13T20:54:46	1.8610000610351562	4.089625	0.614375
2026-04-13T20:54:51	1.8660000562667847	4.0912500000000005	0.6153125
2026-04-13T20:54:56	1.8670001029968262	4.0908750000000005	0.6108750000000001
2026-04-13T20:55:01	1.8680000305175781	4.0908750000000005	0.5794375
2026-04-13T20:55:06	1.8670001029968262	4.0909375	0.62275
2026-04-13T20:55:11	1.873000144958496	4.09075	0.6196875000000001
2026-04-13T20:55:16	1.8650001287460327	4.091	0.606125
2026-04-13T20:55:22	1.8700001239776611	4.091125	0.620625
2026-04-13T20:55:27	1.8700001239776611	4.0915625	0.627875
2026-04-13T20:55:32	1.871000051498413	4.0911875	0.6208125
2026-04-13T20:55:37	1.871000051498413	4.091375	0.6211875
2026-04-13T20:55:42	1.873000144958496	4.0915625	0.628
2026-04-13T20:55:47	1.8760000467300415	4.0914375000000005	0.325875
2026-04-13T20:55:52	1.8750001192092896	4.0912500000000005	0.3254375
2026-04-13T20:55:58	1.873000144958496	4.0911875	0.325375
2026-04-13T20:56:03	1.873000144958496	4.0913125	0.32556250000000003
2026-04-13T20:56:08	1.8670001029968262	4.0916875	0.325625
2026-04-13T20:56:13	1.8630000352859497	4.0915625	0.325625
2026-04-13T20:56:18	1.8630000352859497	4.0914375000000005	0.3254375
2026-04-13T20:56:23	1.8610000610351562	4.0920625	0.3255
2026-04-13T20:56:28	1.8670001029968262	4.0915625	0.3254375
2026-04-13T20:56:33	1.873000144958496	4.0914375000000005	0.3254375
2026-04-13T20:56:39	NA	4.0914375000000005	0.3254375
2026-04-13T20:56:44	1.8680000305175781	4.0911875	0.32556250000000003
