condition	time	methane	windspeed	current
OFF	2026-05-02T20:08:30	1.8090001344680786	4.095625	0.325625
OFF	2026-05-02T20:08:35	1.8050000667572021	4.0958125	0.325625
OFF	2026-05-02T20:08:41	1.8000000715255737	4.095625	0.3256875
OFF	2026-05-02T20:08:46	1.7980000972747803	4.0956875	0.325625
OFF	2026-05-02T20:08:51	1.7990001440048218	4.0956875	0.3256875
OFF	2026-05-02T20:08:56	1.7990001440048218	4.09575	0.3255
OFF	2026-05-02T20:09:01	1.7970000505447388	4.09575	0.3256875
OFF	2026-05-02T20:09:06	1.7970000505447388	4.09575	0.325625
OFF	2026-05-02T20:09:11	1.7990001440048218	4.0956875	0.3255
OFF	2026-05-02T20:09:16	1.7970000505447388	4.0958125	0.325625
OFF	2026-05-02T20:09:22	1.7980000972747803	4.09575	0.325625
OFF	2026-05-02T20:09:27	1.8000000715255737	4.09575	0.3253125
OFF	2026-05-02T20:09:32	1.8000000715255737	4.095875	0.3255
OFF	2026-05-02T20:09:37	1.8010001182556152	4.0956875	0.325375
OFF	2026-05-02T20:09:42	1.8050000667572021	4.095625	0.3254375
OFF	2026-05-02T20:09:47	1.8040001392364502	4.095625	0.325625
OFF	2026-05-02T20:09:52	1.8060001134872437	4.09575	0.325375
OFF	2026-05-02T20:09:58	1.8060001134872437	4.0956875	0.325375
OFF	2026-05-02T20:10:03	1.8060001134872437	4.09575	0.3254375
OFF	2026-05-02T20:10:08	1.8000000715255737	4.0956875	0.32525
OFF	2026-05-02T20:10:13	1.8070000410079956	4.0956875	0.3251875
OFF	2026-05-02T20:10:18	1.815000057220459	4.09575	0.325375
OFF	2026-05-02T20:10:23	1.815000057220459	4.095625	0.3254375
OFF	2026-05-02T20:10:28	1.812000036239624	4.09575	0.3253125
OFF	2026-05-02T20:10:33	1.812000036239624	4.0956875	0.3254375
OFF	2026-05-02T20:10:39	1.8070000410079956	4.0956875	0.325375
OFF	2026-05-02T20:10:44	1.8090001344680786	4.0956875	0.325375
OFF	2026-05-02T20:10:49	1.812000036239624	4.09575	0.3254375
OFF	2026-05-02T20:10:54	1.818000078201294	4.095625	0.3254375
OFF	2026-05-02T20:10:59	1.815000057220459	4.09575	0.3253125
OFF	2026-05-02T20:11:04	1.815000057220459	4.09575	0.3254375
OFF	2026-05-02T20:11:09	1.8090001344680786	4.0956875	0.3254375
OFF	2026-05-02T20:11:15	1.812000036239624	4.09575	0.3253125
OFF	2026-05-02T20:11:20	1.811000108718872	4.0958125	0.325375
OFF	2026-05-02T20:11:25	1.8100000619888306	4.09575	0.32556250000000003
OFF	2026-05-02T20:11:30	1.8050000667572021	4.0956875	0.32556250000000003
OFF	2026-05-02T20:11:35	1.8020000457763672	4.09575	0.325375
OFF	2026-05-02T20:11:40	1.7980000972747803	4.09575	0.3254375
OFF	2026-05-02T20:11:45	1.8020000457763672	4.09575	0.325375
OFF	2026-05-02T20:11:50	1.808000087738037	4.0958125	0.3255
OFF	2026-05-02T20:11:56	1.8160001039505005	4.095625	0.32525
OFF	2026-05-02T20:12:01	1.8200000524520874	4.0958125	0.3254375
OFF	2026-05-02T20:12:06	1.818000078201294	4.09575	0.3255
OFF	2026-05-02T20:12:11	1.812000036239624	4.09575	0.3254375
OFF	2026-05-02T20:12:16	1.812000036239624	4.09575	0.325375
OFF	2026-05-02T20:12:21	1.811000108718872	4.0956875	0.3255
OFF	2026-05-02T20:12:26	1.815000057220459	4.0958125	0.3254375
OFF	2026-05-02T20:12:32	1.8100000619888306	4.09575	0.3255
OFF	2026-05-02T20:12:37	1.8020000457763672	4.09575	0.3255
OFF	2026-05-02T20:12:42	1.8040001392364502	4.09575	0.3254375
OFF	2026-05-02T20:12:47	1.8000000715255737	4.09575	0.3253125
OFF	2026-05-02T20:12:52	1.8040001392364502	4.0956875	0.32556250000000003
OFF	2026-05-02T20:12:57	1.8090001344680786	4.09575	0.3255
OFF	2026-05-02T20:13:02	1.8070000410079956	4.09575	0.3253125
OFF	2026-05-02T20:13:08	1.808000087738037	4.0956875	0.3254375
OFF	2026-05-02T20:13:13	1.8090001344680786	4.09575	0.3251875
OFF	2026-05-02T20:13:18	1.8060001134872437	4.0958125	0.325375
OFF	2026-05-02T20:13:23	1.8060001134872437	4.0958125	0.325375
OFF	2026-05-02T20:13:28	1.815000057220459	4.0956875	0.3253125
OFF	2026-05-02T20:13:33	1.811000108718872	4.09575	0.32556250000000003
OFF	2026-05-02T20:13:38	1.8090001344680786	4.0958125	0.3255
OFF	2026-05-02T20:13:43	1.812000036239624	4.09575	0.3254375
OFF	2026-05-02T20:13:49	1.814000129699707	4.09575	0.32556250000000003
OFF	2026-05-02T20:13:54	1.8090001344680786	4.09575	0.325375
OFF	2026-05-02T20:13:59	1.808000087738037	4.09575	0.3251875
OFF	2026-05-02T20:14:04	1.8060001134872437	4.0958125	0.3255
OFF	2026-05-02T20:14:09	1.8090001344680786	4.0958125	0.325375
OFF	2026-05-02T20:14:14	1.8060001134872437	4.09575	0.3254375
OFF	2026-05-02T20:14:19	1.812000036239624	4.09575	0.3251875
OFF	2026-05-02T20:14:25	1.808000087738037	4.0958125	0.3253125
OFF	2026-05-02T20:14:30	1.8050000667572021	4.0958125	0.325625
OFF	2026-05-02T20:14:35	1.8050000667572021	4.09575	0.325375
OFF	2026-05-02T20:14:40	1.8050000667572021	4.0958125	0.3254375
OFF	2026-05-02T20:14:45	1.8020000457763672	4.0958125	0.32525
OFF	2026-05-02T20:14:50	1.8010001182556152	4.09575	0.3253125
OFF	2026-05-02T20:14:55	1.8030000925064087	4.0958125	0.325375
OFF	2026-05-02T20:15:00	1.8060001134872437	4.0958125	0.3255
OFF	2026-05-02T20:15:06	1.8050000667572021	4.0958125	0.325375
OFF	2026-05-02T20:15:11	1.7990001440048218	4.09575	0.3255
OFF	2026-05-02T20:15:16	1.7950000762939453	4.0958125	0.3254375
OFF	2026-05-02T20:15:21	1.7930001020431519	4.095875	0.3255
OFF	2026-05-02T20:15:26	1.7920000553131104	4.0958125	0.3255
OFF	2026-05-02T20:15:31	1.7930001020431519	4.09575	0.32556250000000003
OFF	2026-05-02T20:15:36	1.7920000553131104	4.095875	0.325375
OFF	2026-05-02T20:15:42	1.7970000505447388	4.0958125	0.3255
OFF	2026-05-02T20:15:47	1.7910001277923584	4.0958125	0.325625
OFF	2026-05-02T20:15:52	1.7890000343322754	4.0958125	0.325625
OFF	2026-05-02T20:15:57	1.7910001277923584	4.0958125	0.325625
OFF	2026-05-02T20:16:02	1.787000060081482	4.09575	0.3254375
OFF	2026-05-02T20:16:07	1.7890000343322754	4.0956875	0.32556250000000003
OFF	2026-05-02T20:16:12	1.7940000295639038	4.095875	0.3255
OFF	2026-05-02T20:16:17	1.7980000972747803	4.0958125	0.3251875
OFF	2026-05-02T20:16:23	1.7990001440048218	4.0958125	0.3255
OFF	2026-05-02T20:16:28	1.7980000972747803	4.09575	0.3254375
OFF	2026-05-02T20:16:33	1.8010001182556152	4.09575	0.325375
OFF	2026-05-02T20:16:38	1.8070000410079956	4.0956875	0.32525
OFF	2026-05-02T20:16:43	1.811000108718872	4.09575	0.32525
OFF	2026-05-02T20:16:48	1.8100000619888306	4.0956875	0.325375
OFF	2026-05-02T20:16:53	1.812000036239624	4.095625	0.3251875
OFF	2026-05-02T20:16:59	1.8100000619888306	4.095625	0.3253125
OFF	2026-05-02T20:17:04	1.8070000410079956	4.09575	0.3253125
OFF	2026-05-02T20:17:09	1.8040001392364502	4.095625	0.32525
OFF	2026-05-02T20:17:14	1.8030000925064087	4.0956875	0.325375
OFF	2026-05-02T20:17:19	1.8010001182556152	4.095625	0.32525
OFF	2026-05-02T20:17:24	1.8000000715255737	4.0956875	0.3254375
OFF	2026-05-02T20:17:29	1.8000000715255737	4.09575	0.3251875
